CodigoDependencia;NombreDependencia;Zona Geográfica
1;Arica;Zona norte grande
2;Iquique;Zona norte grande
3;Antofagasta;Zona norte grande
4;Atacama;Zona Norte Chico
5;Coquimbo;Zona Norte Chico
6;Valparaíso San Antonio;Zona Núcleo Central
7;Viña Del Mar Quillota;Zona Núcleo Central
8;Aconcagua;Zona Núcleo Central
9;Metropolitano Norte;Zona Núcleo Central
10;Metropolitano Occidente;Zona Núcleo Central
11;Metropolitano Central;Zona Núcleo Central
12;Metropolitano Oriente;Zona Núcleo Central
13;Metropolitano Sur;Zona Núcleo Central
14;Metropolitano Suroriente;Zona Núcleo Central
15;Libertador B. O'Higgins;Zona Núcleo Central
16;Del Maule;Zona Núcleo Central
17;Ñuble;Zona Núcleo Central
18;Concepción;Zona Concepción y La frontera
19;Talcahuano;Zona Concepción y La frontera
20;Bíobío;Zona Concepción y La frontera
21;Araucanía Sur;Zona Concepción y La frontera
22;Valdivia;Zona Región de los lagos
23;Osorno;Zona Región de los lagos
24;Del Reloncaví;Zona Región de los lagos
25;Aisén;Zona Región de los Canales
26;Magallanes;Zona Región de los Canales
28;Arauco;Zona Concepción y La frontera
29;Araucanía Norte;Zona Concepción y La frontera
33;Chiloé;Zona Región de los Canales
